id,repository,number,state,title,labels,is_pull_request,created_at,updated_at,closed_at,author,comments,url,body
358312019,pytorch/glow,1599,OPEN,AllocationsInfo allocates buffers for all module variables.,,False,2018-09-08T17:06:39Z,2019-04-30T17:12:43Z,,nadavrot,3,https://github.com/pytorch/glow/issues/1599,"AllocationsInfo allocates buffers for all variables, and not only for variables that are used by the function. I think that this is okay for the JIT, but not so great for the AOT compilation because the unrelated variables become a part of the interface. For more details see: AllocationsInfo::allocateWeightVars."
363755463,pytorch/glow,1714,OPEN,Enable saving training results to disk,wishlist,False,2018-09-25T20:35:15Z,2018-12-18T19:00:09Z,,bertmaher,0,https://github.com/pytorch/glow/issues/1714,"We don't currently have any built-in methods for saving trained weights.  It might not matter for the most part, but I kind of wanted it recently while I was iterating on the inference part of examples/mnist: running training repeatedly when I didn't care about it was kind of a bummer :-). It'd be cool to export to protobuf so it integrates seamlessly with the c2/onnx loaders. Related to #1652, which is about creating a concise text format for testing."
365145998,pytorch/glow,1749,OPEN,Multi-threaded CPU kernels,wishlist,False,2018-09-29T16:24:58Z,2020-05-28T21:42:09Z,,nhynes,26,https://github.com/pytorch/glow/issues/1749,"Is there any plan to add support for running data-parallel operations in several CPU threads? Threading gives frameworks like TVM almost linear speedup per core, and it'd be nice to see in Glow! As for implementation, I imagine something like OpenCL's enqueueKernel would be the right abstraction."
365577296,pytorch/glow,1755,OPEN,[ONNXIFI] Crashes on several onnx test cases.,,False,2018-10-01T18:04:42Z,2019-04-29T22:23:22Z,,zrphercule,7,https://github.com/pytorch/glow/issues/1755,This is a list of the crashed test cases. All crashes can be reproduced following the steps of #1736 . It is still unclear if these are problems of onnxifi or glow. Crashed onnx test cases: 1 test_averagepool_2d_same_lower 2 test_reshape_reordered_dims 3 test_maxpool_with_argmax_2d_precomputed_strides 4 test_softmax_axis_0 5 test_maxpool_2d_precomputed_same_upper 6 test_maxpool_2d_same_lower 7 test_reshape_one_dim 8 test_batchnorm_epsilon 9 test_averagepool_2d_same_upper 10 test_batchnorm_example 11 test_reshape_extended_dims 12 test_maxpool_2d_same_upper 13 test_reshape_negative_dim 14 test_maxpool_with_argmax_2d_precomputed_pads 15 test_reshape_reduced_dims 16 test_averagepool_2d_precomputed_same_upper 17 test_sum_example 18 test_flatten_axis0 19 test_transpose_default 20 test_sum_one_input
368492140,pytorch/glow,1830,OPEN,Optimization flags on nodes (e.g. CanSinkTranspose),wishlist,False,2018-10-10T04:44:08Z,2019-04-29T18:45:13Z,,bertmaher,6,https://github.com/pytorch/glow/issues/1830,"This is more of a wishlist-type idea, but here goes: other compilers I've seen have some ""optimization properties"" on a per-instruction basis that let the optimizer work in terms of those flags, rather than explicitly checking node types everywhere. I've noticed one concrete use case (there may be others), which is sinking transposes.  Many different node types allow transpose to sink past them: BatchNorm, ReLU, Sigmoid, etc. basically just grep GraphOptimizer.cpp for ""sink transpose"".  We could have a node flag that says ""can sink transpose"".  (I haven't thought through details -- maybe each node type really is a special snowflake). This would've been useful to me recently when adding a new backend-specific node type that would benefit from transpose sinking."
371674209,pytorch/glow,1886,OPEN,ConvBench should use libjit_convolution_D8KKC8,good first issue;wishlist,False,2018-10-18T19:20:36Z,2019-04-29T22:25:50Z,,bertmaher,0,https://github.com/pytorch/glow/issues/1886,"It's using our fallback convolution now, which isn't important for performance.  Might need to fix the filter depth also so the output channels are reasonable."
371674678,pytorch/glow,1887,OPEN,ConvBench should use the layers of ResNet,good first issue;wishlist,False,2018-10-18T19:21:56Z,2019-04-29T22:26:02Z,,bertmaher,0,https://github.com/pytorch/glow/issues/1887,"A parameter sweep is an OK starting point, but since we really care a lot about ResNet, we should test its perf explicitly.  I don't care too much whether it's done in addition to or in place of what's there (actually, maybe a slight preference to replace)."
372794866,pytorch/glow,1909,OPEN,"[Importers] Move ""run and compare"" tests from importer tests to operator tests",good first issue,False,2018-10-23T03:42:21Z,2019-02-07T00:03:08Z,,SplitInfinity,2,https://github.com/pytorch/glow/issues/1909,"In light of @artemrakhov 's comment on #1897, I propose moving all of the ""run and compare output"" tests out of the Caffe2 and ONNX importer tests and into the operator test. The importer tests should only check that graph structure is as expected. This is a non-functional change."
375993203,pytorch/glow,1945,OPEN,About default compilation flags : -Wnon-virtual-dtor -fno-exceptions -fno-rtti,,False,2018-10-31T14:35:15Z,2018-10-31T17:39:59Z,,tlepley-cadence,3,https://github.com/pytorch/glow/issues/1945,"We tried to compile with Glow some code that was developed outside of Glow. We've got compilation errors due to some of the default C++ compilation flags defined in glow/cmake/modules/GlowDefaults.cmake: set(CMAKE_CXX_FLAGS ""${CMAKE_CXX_FLAGS} -Wall -Wnon-virtual-dtor -fno-exceptions -fno-rtti"")  Is there a deep reason in Glow to disable exceptions and to have non virtual destructors ? For instance, exceptions are usually very convenient for error management, and they could allow providing error messages with much more context. Also, I'm not familiar with the-Wnon-virtual-dtor option, but my interpretation is that it changes the behavior of C++, what is IMO a bit risky."
376151498,pytorch/glow,1948,OPEN,Make the execution of the Glow compiler more deterministic between multiple runs,good first issue,False,2018-10-31T20:41:32Z,2019-05-06T15:29:37Z,,opti-mix,9,https://github.com/pytorch/glow/issues/1948,"There are certain parts of the compiler that expose some levels of non-determinism. And I don't mean by this that numeric results of running an NN model are non-deterministic. Instead, I mean that some observable (via logs, traces, debug prints) decisions made by the compiler internally may be non-deterministic. For example, many backends statically assign memory addresses to weights and activations. The order in which these addresses are assigned depends on the order of iteration over the set of weights/activations defined by a given graph/function. And these objects are currently often hold in e.g. unordered maps. As a result, the iteration order is non-deterministic and Glow may statically assign different addresses to the same weight/activation if you'd run it multiple times on the same inputs. This kind of non-determinism is very annoying, because it complicates the debugging and makes comparing the traces produced by different runs of the compiler (e.g. by means of -debug-glow-only=xyz) very difficult. The aim of this issue is therefore:  Identify the places where we have this kind of non-determinism Fix such issues by e.g. using data structures with a deterministic iteration order (map instead of unordered_map, etc). Depending on the case, we may want to either use such a deterministic data structure either for the whole duration of the compilation or only inside the code snippet that exposes the non-deterministic behavior."
